Model name,NOA-H,NOA-G,NOA-diff,NOA-prop,NOC-H,NOC-G,NOC-diff,NOC-prop
Model 1,9,17,-8,-88.89\%,9,5,4,44.44\%
Model 2,9,11,-2,-22.22\%,14,6,8,57.14\%
Model 3,12,12,0,0.00\%,11,4,7,63.64\%
Model 4,8,22,-14,-175.00\%,15,4,11,73.33\%
Model 5,26,73,-47,-180.77\%,34,6,28,82.35\%
Model 6,20,52,-32,-160.00\%,31,3,28,90.32\%
Model 7,6,9,-3,-50.00\%,2,2,0,0.00\%
Model 8,6,7,-1,-16.67\%,6,4,2,33.33\%
Model 9,4,8,-4,-100.00\%,4,4,0,0.00\%
Model 10,2,5,-3,-150.00\%,6,3,3,50.00\%
Model 11,11,16,-5,-45.45\%,5,3,2,40.00\%
Model 12,6,12,-6,-100.00\%,6,4,2,33.33\%
Model 13,6,7,-1,-16.67\%,2,2,0,0.00\%
Model 14,19,50,-31,-163.16\%,12,3,9,75.00\%
Model 15,2,7,-5,-250.00\%,5,4,1,20.00\%
Model 16,5,10,-5,-100.00\%,3,4,-1,-33.33\%
Model 17,9,23,-14,-155.56\%,6,6,0,0.00\%
Model 18,5,24,-19,-380.00\%,2,6,-4,-200.00\%
Model 19,17,31,-14,-82.35\%,8,5,3,37.50\%
Model 20,4,6,-2,-50.00\%,2,2,0,0.00\%
Model 21,5,13,-8,-160.00\%,5,4,1,20.00\%
Model 22,11,13,-2,-18.18\%,19,5,14,73.68\%
Model 23,4,7,-3,-75.00\%,4,3,1,25.00\%
Model 24,5,7,-2,-40.00\%,2,2,0,0.00\%
Model 25,5,11,-6,-120.00\%,6,3,3,50.00\%
Model 26,5,9,-4,-80.00\%,6,2,4,66.67\%
Model 27,11,12,-1,-9.09\%,18,6,12,66.67\%
Model 28,7,9,-2,-28.57\%,10,6,4,40.00\%
Model 29,7,7,0,0.00\%,9,2,7,77.78\%
Model 30,8,9,-1,-12.50\%,9,2,7,77.78\%
Model 31,8,7,1,12.50\%,7,4,3,42.86\%
Model 32,10,17,-7,-70.00\%,10,6,4,40.00\%
